Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000   0.0000
   52    0.0000  -0.0002
   53    0.0000  -0.0002
   54   -0.0002  -0.0002
   55   -0.0002  -0.0002
   56   -0.0002  -0.0005
   57   -0.0002  -0.0005
   58   -0.0005  -0.0007
   59   -0.0005  -0.0007
   60   -0.0005  -0.0010
   61   -0.0007  -0.0007
   62   -0.0007  -0.0010
   63   -0.0010  -0.0010
   64   -0.0014  -0.0010
   65   -0.0031  -0.0010
   66   -0.0062  -0.0012
   67   -0.0091  -0.0014
   68   -0.0096  -0.0014
   69   -0.0072  -0.0014
   70   -0.0026  -0.0010
   71    0.0026  -0.0010
   72    0.0106  -0.0002
   73    0.0242  -0.0010
   74    0.0427  -0.0017
   75    0.0552  -0.0022
   76    0.0494  -0.0010
   77    0.0206   0.0019
   78   -0.0182   0.0055
   79   -0.0516   0.0082
   80   -0.0710   0.0082
   81   -0.0780   0.0050
   82   -0.0732   0.0048
   83   -0.0521   0.0034
   84   -0.0127   0.0034
   85    0.0401   0.0036
   86    0.0876   0.0062
   87    0.0960   0.0125
   88    0.0634   0.0182
   89    0.0288   0.0180
   90    0.0206   0.0130
   91    0.0233   0.0079
   92    0.0019   0.0048
   93   -0.0420   0.0043
   94   -0.0725   0.0062
   95   -0.0746   0.0144
   96   -0.0521   0.0110
   97    0.0007  -0.0079
   98    0.0398  -0.0199
   99    0.0218  -0.0221
  100   -0.0098  -0.0240
  101   -0.0046  -0.0204
  102    0.0475  -0.0134
  103    0.0785  -0.0101
  104    0.0694  -0.0187
  105    0.0142  -0.0178
  106   -0.0749  -0.0182
  107   -0.1620  -0.0228
  108   -0.1541  -0.0319
  109   -0.0324  -0.0233
  110    0.1246   0.0005
  111    0.2194   0.0137
  112    0.1942  -0.0089
  113    0.0473  -0.0187
  114   -0.1234  -0.0074
  115   -0.1798  -0.0038
  116   -0.1010   0.0053
