Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000   0.0000
   52    0.0000   0.0000
   53    0.0000   0.0000
   54    0.0000   0.0000
   55    0.0000  -0.0002
   56    0.0000  -0.0002
   57   -0.0002  -0.0002
   58   -0.0002  -0.0002
   59   -0.0005  -0.0002
   60   -0.0005  -0.0002
   61   -0.0007  -0.0002
   62   -0.0007  -0.0002
   63   -0.0010  -0.0002
   64   -0.0012  -0.0002
   65   -0.0014  -0.0002
   66   -0.0026  -0.0002
   67   -0.0038   0.0002
   68   -0.0034   0.0005
   69    0.0000   0.0012
   70    0.0048   0.0022
   71    0.0055   0.0026
   72   -0.0043   0.0026
   73   -0.0204   0.0022
   74   -0.0278   0.0017
   75   -0.0202   0.0002
   76   -0.0034  -0.0010
   77    0.0012  -0.0010
   78   -0.0151   0.0019
   79   -0.0307   0.0010
   80   -0.0156   0.0010
   81    0.0190  -0.0002
   82    0.0454   0.0002
   83    0.0463   0.0010
   84    0.0218   0.0002
   85    0.0046   0.0010
   86    0.0199  -0.0012
   87    0.0377   0.0007
   88    0.0314  -0.0022
   89    0.0082  -0.0072
   90   -0.0132  -0.0031
   91   -0.0173   0.0026
   92    0.0024   0.0002
   93    0.0146   0.0002
   94    0.0086   0.0034
   95    0.0029   0.0055
   96   -0.0031   0.0154
   97   -0.0120   0.0144
   98   -0.0173   0.0074
   99   -0.0252   0.0094
  100   -0.0278   0.0074
  101   -0.0259  -0.0010
  102    0.0060  -0.0031
  103    0.0310   0.0058
  104    0.0410   0.0050
  105    0.0221  -0.0002
  106    0.0024  -0.0089
  107   -0.0005  -0.0230
  108    0.0132  -0.0302
  109   -0.0091  -0.0362
  110   -0.0574  -0.0290
  111   -0.0785  -0.0257
  112   -0.0355  -0.0055
  113    0.0326   0.0079
  114    0.0602   0.0048
  115    0.0122   0.0002
  116   -0.0578  -0.0041
  117   -0.0756  -0.0050
