Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000   0.0000
   52    0.0000   0.0000
   53    0.0000   0.0000
   54    0.0000   0.0000
   55    0.0000   0.0002
   56    0.0000   0.0002
   57    0.0002   0.0002
   58    0.0002   0.0002
   59    0.0002   0.0005
   60    0.0002   0.0005
   61    0.0005   0.0005
   62    0.0005   0.0005
   63    0.0007   0.0005
   64    0.0007   0.0007
   65    0.0005   0.0007
   66   -0.0007   0.0010
   67   -0.0026   0.0017
   68   -0.0048   0.0024
   69   -0.0079   0.0031
   70   -0.0125   0.0036
   71   -0.0168   0.0038
   72   -0.0185   0.0041
   73   -0.0132   0.0026
   74   -0.0050   0.0026
   75   -0.0031   0.0038
   76   -0.0034   0.0046
   77   -0.0022   0.0055
   78   -0.0017   0.0070
   79    0.0000   0.0058
   80    0.0007   0.0031
   81   -0.0055   0.0034
   82   -0.0166   0.0065
   83   -0.0190   0.0055
   84   -0.0002   0.0014
   85    0.0307   0.0014
   86    0.0377   0.0024
   87    0.0019  -0.0038
   88   -0.0322  -0.0043
   89   -0.0137   0.0050
   90    0.0480   0.0012
   91    0.0919  -0.0144
   92    0.0624  -0.0276
   93   -0.0497  -0.0370
   94   -0.1361  -0.0391
   95   -0.0862  -0.0341
   96    0.0115  -0.0175
   97    0.0394  -0.0002
   98    0.0293  -0.0036
   99    0.0096  -0.0151
  100   -0.0211  -0.0134
  101   -0.0185  -0.0137
  102    0.0348  -0.0103
  103    0.0634  -0.0050
  104    0.0394   0.0048
  105   -0.0386   0.0060
  106   -0.0667   0.0026
  107    0.0149  -0.0031
  108    0.1493  -0.0017
  109    0.1848   0.0050
  110    0.0922   0.0086
  111   -0.0211   0.0146
  112   -0.0780   0.0154
  113   -0.0408   0.0108
  114    0.0358   0.0053
  115    0.0118  -0.0060
  116   -0.0766  -0.0070
  117   -0.0883   0.0086
  118    0.0012   0.0334
