Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0002
   48    0.0000   0.0002
   49    0.0002   0.0002
   50    0.0002   0.0002
   51    0.0005   0.0002
   52    0.0005   0.0002
   53    0.0007   0.0002
   54    0.0007   0.0002
   55    0.0010   0.0002
   56    0.0012   0.0002
   57    0.0014   0.0002
   58    0.0017   0.0002
   59    0.0019   0.0002
   60    0.0022   0.0002
   61    0.0024   0.0005
   62    0.0029   0.0002
   63    0.0031   0.0005
   64    0.0036   0.0005
   65    0.0041   0.0007
   66    0.0046   0.0007
   67    0.0050   0.0007
   68    0.0058   0.0007
   69    0.0065   0.0010
   70    0.0070   0.0010
   71    0.0060   0.0007
   72    0.0029   0.0002
   73    0.0000   0.0002
   74   -0.0002   0.0002
   75   -0.0031   0.0002
   76   -0.0130   0.0010
   77   -0.0264   0.0019
   78   -0.0305   0.0029
   79   -0.0173   0.0014
   80    0.0012   0.0002
   81    0.0082   0.0014
   82    0.0024   0.0019
   83    0.0012   0.0022
   84    0.0098   0.0017
   85    0.0108  -0.0026
   86    0.0005  -0.0077
   87   -0.0125  -0.0084
   88   -0.0163  -0.0082
   89   -0.0067  -0.0067
   90   -0.0034  -0.0060
   91   -0.0190   0.0000
   92   -0.0458   0.0041
   93   -0.0588  -0.0022
   94   -0.0478  -0.0062
   95   -0.0084  -0.0125
   96    0.0370  -0.0115
   97    0.0526  -0.0072
   98    0.0202  -0.0019
   99   -0.0444  -0.0062
  100   -0.0636  -0.0072
  101   -0.0154  -0.0041
  102    0.0576  -0.0079
  103    0.0862  -0.0031
  104    0.0470  -0.0079
  105   -0.0163  -0.0110
  106   -0.0156   0.0067
  107    0.0391   0.0218
  108    0.0679   0.0158
  109    0.0094   0.0060
  110   -0.0653  -0.0029
  111   -0.0521  -0.0055
  112    0.0437   0.0019
  113    0.0950   0.0178
  114    0.0314   0.0048
  115   -0.0768  -0.0113
  116   -0.1022  -0.0089
  117   -0.0466  -0.0086
  118    0.0158   0.0024
