Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000  -0.0002
   48    0.0002   0.0000
   49    0.0002  -0.0002
   50    0.0005   0.0000
   51    0.0005  -0.0002
   52    0.0007   0.0000
   53    0.0007  -0.0002
   54    0.0010   0.0000
   55    0.0010  -0.0002
   56    0.0012  -0.0002
   57    0.0014  -0.0002
   58    0.0017  -0.0002
   59    0.0019  -0.0002
   60    0.0024  -0.0002
   61    0.0026  -0.0002
   62    0.0031  -0.0002
   63    0.0036  -0.0002
   64    0.0038  -0.0005
   65    0.0043  -0.0005
   66    0.0046  -0.0005
   67    0.0029  -0.0002
   68   -0.0002  -0.0002
   69   -0.0010  -0.0002
   70    0.0007  -0.0014
   71    0.0048  -0.0026
   72    0.0079  -0.0019
   73    0.0043  -0.0012
   74    0.0005  -0.0002
   75    0.0017   0.0002
   76    0.0053   0.0010
   77    0.0101  -0.0007
   78    0.0070  -0.0005
   79   -0.0142   0.0031
   80   -0.0312   0.0070
   81   -0.0312   0.0079
   82   -0.0221   0.0024
   83   -0.0060  -0.0014
   84   -0.0055  -0.0002
   85   -0.0295   0.0031
   86   -0.0394   0.0041
   87   -0.0262  -0.0019
   88    0.0002  -0.0019
   89    0.0259   0.0031
   90    0.0192  -0.0007
   91   -0.0211  -0.0065
   92   -0.0458  -0.0014
   93   -0.0149   0.0060
   94    0.0386   0.0089
   95    0.0557   0.0026
   96    0.0252  -0.0002
   97   -0.0137  -0.0055
   98   -0.0185  -0.0043
   99    0.0017   0.0010
  100    0.0247   0.0019
  101    0.0058   0.0053
  102   -0.0396   0.0089
  103   -0.0763   0.0108
  104   -0.0614   0.0041
  105   -0.0154  -0.0012
  106    0.0396   0.0002
  107    0.0665   0.0103
  108    0.0710   0.0072
  109    0.0497   0.0048
  110   -0.0034   0.0002
  111   -0.0646  -0.0130
  112   -0.0816  -0.0180
  113   -0.0350  -0.0110
  114    0.0401  -0.0002
  115    0.0475   0.0038
  116    0.0156  -0.0019
  117    0.0115   0.0034
