Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0002
    2    0.0002   0.0002
    3    0.0000   0.0002
    4    0.0000   0.0002
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000  -0.0002
   48    0.0002   0.0000
   49    0.0002  -0.0002
   50    0.0005   0.0000
   51    0.0005  -0.0002
   52    0.0007   0.0000
   53    0.0007  -0.0002
   54    0.0010   0.0000
   55    0.0010  -0.0002
   56    0.0012  -0.0002
   57    0.0014  -0.0002
   58    0.0017  -0.0002
   59    0.0019  -0.0002
   60    0.0022  -0.0002
   61    0.0026   0.0000
   62    0.0029  -0.0002
   63    0.0034   0.0000
   64    0.0038   0.0000
   65    0.0043   0.0000
   66    0.0050   0.0002
   67    0.0058   0.0005
   68    0.0065   0.0005
   69    0.0060   0.0010
   70    0.0060   0.0010
   71    0.0070   0.0010
   72    0.0084   0.0022
   73    0.0077   0.0034
   74    0.0065   0.0038
   75    0.0050   0.0034
   76    0.0005   0.0036
   77   -0.0050   0.0050
   78   -0.0074   0.0067
   79   -0.0089   0.0098
   80   -0.0055   0.0113
   81    0.0019   0.0125
   82    0.0079   0.0134
   83    0.0017   0.0106
   84   -0.0154   0.0079
   85   -0.0264   0.0072
   86   -0.0146   0.0060
   87    0.0118   0.0134
   88    0.0221   0.0252
   89   -0.0019   0.0218
   90   -0.0276   0.0127
   91   -0.0228   0.0050
   92    0.0048   0.0070
   93    0.0266   0.0101
   94    0.0331   0.0038
   95    0.0132   0.0060
   96   -0.0326   0.0072
   97   -0.0439   0.0017
   98   -0.0022  -0.0067
   99    0.0420  -0.0204
  100    0.0533  -0.0146
  101    0.0322   0.0012
  102    0.0017   0.0089
  103   -0.0334  -0.0031
  104   -0.0317  -0.0211
  105   -0.0084  -0.0298
  106    0.0149  -0.0180
  107    0.0156  -0.0072
  108    0.0098  -0.0096
  109   -0.0091  -0.0043
  110   -0.0482  -0.0036
  111   -0.0864  -0.0108
  112   -0.0787  -0.0218
  113   -0.0130  -0.0139
  114    0.0576  -0.0106
  115    0.0547  -0.0269
  116   -0.0336  -0.0307
  117   -0.1337  -0.0096
  118   -0.1262  -0.0218
  119   -0.0154  -0.0420
  120    0.0890  -0.0446
  121    0.0886  -0.0336
  122    0.0034  -0.0026
  123   -0.0547   0.0161
  124   -0.0310   0.0132
  125    0.0545  -0.0074
  126    0.0922  -0.0288
  127    0.0031  -0.0070
  128   -0.1087   0.0216
  129   -0.1030   0.0305
  130    0.0343   0.0290
  131    0.1529   0.0204
  132    0.1334   0.0094
  133    0.0000   0.0070
  134   -0.1066  -0.0055
  135   -0.1058  -0.0048
  136   -0.0218   0.0022
  137    0.0492  -0.0019
  138    0.0190  -0.0103
  139   -0.0516  -0.0228
  140   -0.0746  -0.0310
  141   -0.0348  -0.0269
  142    0.0079   0.0005
  143    0.0163  -0.0005
  144   -0.0017  -0.0067
  145   -0.0274  -0.0158
  146   -0.0286  -0.0154
  147    0.0120  -0.0019
  148    0.0739   0.0002
  149    0.0967   0.0098
  150    0.0238   0.0026
  151   -0.0869  -0.0182
  152   -0.1063  -0.0125
  153    0.0386  -0.0122
  154    0.2506  -0.0043
  155    0.2971   0.0005
  156    0.0898   0.0014
  157   -0.2124   0.0022
  158   -0.3341   0.0096
  159   -0.1442   0.0144
  160    0.1819   0.0161
  161    0.3564   0.0295
  162    0.2309   0.0360
  163   -0.0782   0.0403
  164   -0.3043   0.0310
  165   -0.2748   0.0281
  166   -0.0506   0.0288
  167    0.1699   0.0336
  168    0.2249   0.0242
  169    0.0979   0.0038
  170   -0.0797  -0.0170
  171   -0.1658  -0.0130
  172   -0.1289  -0.0014
  173   -0.0115  -0.0024
  174    0.1015  -0.0103
  175    0.1394  -0.0137
  176    0.0917  -0.0050
  177    0.0055   0.0019
  178   -0.0559   0.0060
  179   -0.0756   0.0070
  180   -0.0504   0.0158
  181   -0.0002   0.0230
  182    0.0348   0.0151
  183    0.0480   0.0166
  184    0.0257   0.0180
  185   -0.0149   0.0031
  186   -0.0446   0.0019
  187   -0.0454   0.0005
  188   -0.0194   0.0000
  189    0.0098   0.0031
  190    0.0202  -0.0072
  191    0.0185  -0.0322
  192    0.0353  -0.0310
  193    0.0518   0.0022
  194    0.0252   0.0142
  195   -0.0418   0.0132
  196   -0.0938  -0.0010
  197   -0.0878  -0.0053
  198   -0.0178   0.0029
  199    0.0646   0.0178
  200    0.0972   0.0298
  201    0.0605   0.0149
  202   -0.0214   0.0055
  203   -0.0912   0.0053
  204   -0.0941   0.0014
  205   -0.0353  -0.0151
  206    0.0350  -0.0204
  207    0.0864  -0.0067
  208    0.0907  -0.0014
  209    0.0427  -0.0091
  210   -0.0403  -0.0130
  211   -0.1140  -0.0137
  212   -0.1006   0.0005
  213   -0.0142   0.0053
  214    0.0809   0.0026
  215    0.1123  -0.0173
  216    0.0588  -0.0298
  217   -0.0389  -0.0182
  218   -0.0962   0.0031
  219   -0.0754   0.0101
  220   -0.0002  -0.0058
  221    0.0696  -0.0170
  222    0.0924  -0.0108
  223    0.0475  -0.0060
  224   -0.0096  -0.0014
  225   -0.0401   0.0024
  226   -0.0233   0.0084
  227    0.0101  -0.0034
  228    0.0149  -0.0036
  229   -0.0014   0.0043
