Echo A : GREBAS~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000  -0.0002
   52    0.0000  -0.0002
   53    0.0002  -0.0002
   54    0.0002  -0.0002
   55    0.0005  -0.0002
   56    0.0005  -0.0002
   57    0.0007  -0.0002
   58    0.0007  -0.0002
   59    0.0010  -0.0002
   60    0.0012  -0.0002
   61    0.0014  -0.0002
   62    0.0017  -0.0002
   63    0.0019  -0.0002
   64    0.0022  -0.0002
   65    0.0024  -0.0005
   66    0.0029  -0.0005
   67    0.0029  -0.0005
   68    0.0026  -0.0002
   69    0.0036   0.0002
   70    0.0065   0.0002
   71    0.0067  -0.0002
   72    0.0012  -0.0005
   73   -0.0024  -0.0010
   74   -0.0012  -0.0012
   75    0.0014  -0.0007
   76    0.0048   0.0010
   77    0.0007   0.0000
   78   -0.0043  -0.0019
   79    0.0067  -0.0036
   80    0.0115  -0.0050
   81   -0.0002  -0.0055
   82   -0.0130  -0.0024
   83   -0.0302  -0.0019
   84   -0.0288  -0.0060
   85    0.0050  -0.0058
   86    0.0245  -0.0050
   87    0.0214  -0.0065
   88    0.0053  -0.0046
   89   -0.0319  -0.0058
   90   -0.0334  -0.0002
   91    0.0017   0.0079
   92    0.0142   0.0050
   93   -0.0017  -0.0029
   94   -0.0329  -0.0065
   95   -0.0418   0.0014
   96    0.0012   0.0053
   97    0.0670   0.0062
   98    0.0967   0.0014
   99    0.0490  -0.0038
  100   -0.0266  -0.0019
  101   -0.0785   0.0182
  102   -0.0768   0.0286
  103   -0.0629   0.0235
  104   -0.0626   0.0166
  105   -0.0523   0.0084
  106    0.0247   0.0082
  107    0.1159   0.0089
  108    0.1013  -0.0007
  109   -0.0118   0.0101
  110   -0.0998   0.0108
  111   -0.0998   0.0029
  112    0.0082   0.0036
  113    0.0946   0.0110
  114    0.0586   0.0187
  115   -0.0094   0.0228
  116   -0.0497   0.0067
  117   -0.0504  -0.0031
