Echo A : GURBAS~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000   0.0000
   52    0.0000   0.0000
   53    0.0000   0.0000
   54    0.0000   0.0000
   55    0.0000   0.0000
   56    0.0000   0.0000
   57    0.0000   0.0000
   58    0.0000   0.0000
   59    0.0000   0.0000
   60    0.0000   0.0002
   61    0.0000   0.0002
   62   -0.0002   0.0002
   63   -0.0002   0.0002
   64   -0.0005   0.0002
   65   -0.0002   0.0002
   66   -0.0007   0.0002
   67   -0.0024   0.0002
   68   -0.0034   0.0005
   69   -0.0007   0.0005
   70    0.0048   0.0007
   71    0.0089   0.0022
   72    0.0074   0.0041
   73    0.0014   0.0053
   74   -0.0038   0.0043
   75   -0.0089   0.0029
   76   -0.0180   0.0002
   77   -0.0259  -0.0017
   78   -0.0204  -0.0019
   79    0.0010  -0.0014
   80    0.0247  -0.0007
   81    0.0338   0.0024
   82    0.0235  -0.0002
   83    0.0012  -0.0055
   84   -0.0199  -0.0038
   85   -0.0305   0.0010
   86   -0.0166   0.0038
   87    0.0290   0.0089
   88    0.0566   0.0048
   89    0.0274  -0.0002
   90   -0.0336  -0.0014
   91   -0.0689  -0.0019
   92   -0.0264  -0.0058
   93    0.0742  -0.0060
   94    0.1296  -0.0043
   95    0.0854   0.0019
   96   -0.0142   0.0089
   97   -0.1015   0.0050
   98   -0.1378  -0.0103
   99   -0.1145  -0.0110
  100   -0.0492  -0.0079
  101    0.0166  -0.0031
  102    0.0725   0.0096
  103    0.0528   0.0142
  104   -0.0394   0.0086
  105   -0.1130   0.0010
  106   -0.0775   0.0084
  107    0.0574   0.0130
  108    0.2417   0.0226
  109    0.3144   0.0355
  110    0.1682   0.0252
  111   -0.1138  -0.0038
  112   -0.3218  -0.0187
  113   -0.3463  -0.0178
  114   -0.1382  -0.0182
  115    0.1399  -0.0098
  116    0.2640  -0.0132
  117    0.1834  -0.0362
  118    0.0449  -0.0487
