Echo A : JILBASE1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0002
   45    0.0000   0.0002
   46    0.0002   0.0002
   47    0.0002   0.0002
   48    0.0005   0.0002
   49    0.0005   0.0002
   50    0.0007   0.0002
   51    0.0007   0.0002
   52    0.0010   0.0002
   53    0.0012   0.0002
   54    0.0014   0.0002
   55    0.0017   0.0002
   56    0.0019   0.0002
   57    0.0022   0.0002
   58    0.0024   0.0002
   59    0.0029   0.0002
   60    0.0031   0.0002
   61    0.0036   0.0002
   62    0.0038   0.0005
   63    0.0046   0.0007
   64    0.0050   0.0007
   65    0.0058   0.0007
   66    0.0058   0.0007
   67    0.0053   0.0005
   68    0.0048   0.0002
   69    0.0055   0.0005
   70    0.0103   0.0005
   71    0.0134   0.0012
   72    0.0096   0.0017
   73    0.0031   0.0010
   74   -0.0017  -0.0007
   75   -0.0053  -0.0017
   76   -0.0019  -0.0005
   77    0.0024  -0.0005
   78   -0.0024   0.0005
   79   -0.0098   0.0002
   80   -0.0132  -0.0005
   81   -0.0199  -0.0007
   82   -0.0293  -0.0014
   83   -0.0317  -0.0017
   84   -0.0278  -0.0053
   85   -0.0180  -0.0074
   86    0.0055  -0.0067
   87    0.0218  -0.0067
   88    0.0142  -0.0019
   89    0.0007   0.0007
   90   -0.0103  -0.0050
   91   -0.0103  -0.0070
   92    0.0026  -0.0067
   93    0.0108  -0.0038
   94    0.0043  -0.0060
   95   -0.0074  -0.0096
   96   -0.0089  -0.0065
   97   -0.0029  -0.0055
   98   -0.0031  -0.0048
   99   -0.0161  -0.0048
  100   -0.0336  -0.0072
  101   -0.0542  -0.0034
  102   -0.0422   0.0029
  103   -0.0120   0.0079
  104    0.0168   0.0084
  105    0.0314   0.0022
  106    0.0310   0.0058
  107    0.0238   0.0118
  108    0.0250   0.0139
  109    0.0245   0.0115
  110    0.0240   0.0170
  111    0.0132   0.0180
  112    0.0082   0.0103
  113   -0.0019   0.0031
  114   -0.0120   0.0103
  115   -0.0132   0.0163
  116   -0.0166   0.0113
  117   -0.0142  -0.0017
  118   -0.0106  -0.0036
