Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000   0.0000
   52    0.0000   0.0000
   53    0.0000   0.0000
   54    0.0000   0.0000
   55    0.0000   0.0000
   56    0.0000   0.0000
   57    0.0000   0.0000
   58    0.0000   0.0000
   59    0.0000   0.0000
   60    0.0000   0.0002
   61    0.0000   0.0002
   62   -0.0002   0.0002
   63   -0.0002   0.0002
   64   -0.0002   0.0002
   65    0.0012   0.0002
   66    0.0034   0.0002
   67    0.0050   0.0000
   68    0.0041   0.0002
   69    0.0012   0.0005
   70   -0.0014   0.0005
   71   -0.0050   0.0002
   72   -0.0089   0.0000
   73   -0.0120   0.0002
   74   -0.0154  -0.0002
   75   -0.0170  -0.0002
   76   -0.0166   0.0000
   77   -0.0185  -0.0002
   78   -0.0168  -0.0019
   79   -0.0058  -0.0036
   80    0.0149  -0.0043
   81    0.0396  -0.0060
   82    0.0499  -0.0050
   83    0.0374   0.0005
   84    0.0139   0.0038
   85    0.0019   0.0050
   86    0.0082   0.0062
   87    0.0211   0.0022
   88    0.0158  -0.0096
   89   -0.0125  -0.0094
   90   -0.0355  -0.0079
   91   -0.0362  -0.0041
   92   -0.0206  -0.0029
   93   -0.0096  -0.0065
   94   -0.0067  -0.0031
   95   -0.0024  -0.0007
   96    0.0019   0.0026
   97    0.0082   0.0055
   98    0.0180   0.0038
   99    0.0302   0.0017
  100    0.0485   0.0017
  101    0.0439  -0.0007
  102    0.0122  -0.0067
  103   -0.0302  -0.0038
  104   -0.0667  -0.0007
  105   -0.0866   0.0005
  106   -0.0754  -0.0010
  107   -0.0230   0.0002
  108    0.0574  -0.0014
  109    0.0950  -0.0101
  110    0.0374  -0.0206
  111   -0.0859  -0.0211
  112   -0.1382   0.0026
  113   -0.0410   0.0137
  114    0.1402   0.0341
  115    0.2208   0.0293
  116    0.0742   0.0139
  117   -0.1822   0.0101
  118   -0.2750   0.0098
