Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000   0.0000
   52    0.0000   0.0000
   53    0.0000   0.0000
   54    0.0000   0.0000
   55    0.0000  -0.0002
   56    0.0000  -0.0002
   57    0.0002  -0.0002
   58    0.0002  -0.0002
   59    0.0005  -0.0002
   60    0.0005  -0.0002
   61    0.0007  -0.0002
   62    0.0007  -0.0002
   63    0.0010  -0.0002
   64    0.0012  -0.0002
   65    0.0014  -0.0002
   66    0.0017  -0.0002
   67    0.0014  -0.0005
   68    0.0012  -0.0010
   69    0.0022  -0.0010
   70    0.0050  -0.0007
   71    0.0072  -0.0010
   72    0.0055  -0.0005
   73    0.0005   0.0012
   74   -0.0012   0.0014
   75    0.0019   0.0019
   76    0.0058   0.0014
   77    0.0046   0.0017
   78   -0.0031   0.0014
   79   -0.0125   0.0002
   80   -0.0154  -0.0012
   81   -0.0110   0.0010
   82   -0.0077   0.0058
   83   -0.0120   0.0072
   84   -0.0199   0.0019
   85   -0.0190  -0.0043
   86   -0.0082  -0.0065
   87    0.0082  -0.0058
   88    0.0221  -0.0072
   89    0.0178  -0.0079
   90    0.0005  -0.0048
   91   -0.0161   0.0034
   92   -0.0211   0.0038
   93   -0.0149   0.0010
   94   -0.0029   0.0043
   95    0.0041  -0.0026
   96    0.0036  -0.0065
   97   -0.0060  -0.0113
   98   -0.0091  -0.0134
   99    0.0034  -0.0142
  100    0.0389  -0.0118
  101    0.0703  -0.0050
  102    0.0758   0.0079
  103    0.0502   0.0166
  104    0.0127   0.0211
  105   -0.0149   0.0108
  106   -0.0194   0.0110
  107   -0.0223   0.0235
  108   -0.0317   0.0120
  109   -0.0499  -0.0024
  110   -0.0526  -0.0096
  111   -0.0456  -0.0103
  112   -0.0266  -0.0019
  113   -0.0022  -0.0031
  114    0.0106  -0.0187
  115    0.0096  -0.0127
  116    0.0079  -0.0067
  117   -0.0010  -0.0041
