Echo A : BASELIN1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0002
   46    0.0002   0.0000
   47    0.0002   0.0002
   48    0.0005   0.0000
   49    0.0005   0.0002
   50    0.0007   0.0000
   51    0.0007   0.0002
   52    0.0010   0.0000
   53    0.0010   0.0002
   54    0.0012   0.0002
   55    0.0014   0.0002
   56    0.0017   0.0002
   57    0.0019   0.0002
   58    0.0024   0.0002
   59    0.0026   0.0002
   60    0.0031   0.0002
   61    0.0034   0.0002
   62    0.0038   0.0002
   63    0.0043   0.0002
   64    0.0050   0.0002
   65    0.0055   0.0002
   66    0.0058   0.0002
   67    0.0050   0.0002
   68    0.0029   0.0005
   69   -0.0005   0.0005
   70   -0.0041   0.0005
   71   -0.0067   0.0002
   72   -0.0072   0.0005
   73   -0.0055   0.0002
   74   -0.0022   0.0002
   75    0.0012  -0.0002
   76    0.0046   0.0002
   77    0.0067   0.0005
   78    0.0074   0.0010
   79    0.0034   0.0019
   80   -0.0026   0.0002
   81   -0.0086  -0.0014
   82   -0.0118   0.0010
   83   -0.0132   0.0026
   84   -0.0103   0.0026
   85   -0.0122   0.0055
   86   -0.0130   0.0094
   87   -0.0055   0.0101
   88    0.0146   0.0067
   89    0.0365   0.0002
   90    0.0456   0.0038
   91    0.0290   0.0079
   92    0.0082   0.0046
   93    0.0000   0.0036
   94   -0.0031   0.0014
   95   -0.0031  -0.0019
   96   -0.0242  -0.0062
   97   -0.0576  -0.0055
   98   -0.0828   0.0014
   99   -0.1020   0.0096
  100   -0.1034   0.0038
  101   -0.0977  -0.0041
  102   -0.0751  -0.0108
  103   -0.0559  -0.0077
  104   -0.0166  -0.0043
  105    0.0269  -0.0038
  106    0.0540  -0.0007
  107    0.0653  -0.0024
  108    0.0658  -0.0194
  109    0.0468  -0.0170
  110    0.0408  -0.0101
  111    0.0566  -0.0089
  112    0.0672  -0.0194
  113    0.0708  -0.0149
  114    0.0806  -0.0050
  115    0.0809  -0.0106
  116    0.0768  -0.0187
  117    0.0785  -0.0103
  118    0.0588   0.0072
