Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000   0.0000
   52    0.0000   0.0000
   53    0.0000   0.0000
   54    0.0000   0.0000
   55    0.0000   0.0000
   56    0.0000  -0.0002
   57    0.0000  -0.0002
   58    0.0002  -0.0002
   59    0.0002  -0.0002
   60    0.0005  -0.0002
   61    0.0005  -0.0002
   62    0.0007  -0.0002
   63    0.0007  -0.0002
   64    0.0010  -0.0002
   65    0.0014   0.0000
   66    0.0017   0.0000
   67    0.0014   0.0002
   68    0.0005   0.0002
   69   -0.0022   0.0010
   70   -0.0082   0.0014
   71   -0.0192   0.0019
   72   -0.0290   0.0031
   73   -0.0252   0.0029
   74   -0.0050   0.0014
   75    0.0161   0.0000
   76    0.0185  -0.0012
   77    0.0026  -0.0007
   78   -0.0108   0.0005
   79   -0.0024   0.0002
   80    0.0226  -0.0007
   81    0.0415   0.0005
   82    0.0338   0.0053
   83    0.0014   0.0065
   84   -0.0274  -0.0002
   85   -0.0276  -0.0050
   86    0.0024  -0.0043
   87    0.0245   0.0017
   88    0.0163   0.0022
   89   -0.0199  -0.0031
   90   -0.0528  -0.0038
   91   -0.0485   0.0007
   92   -0.0070  -0.0019
   93    0.0288  -0.0014
   94    0.0206   0.0017
   95   -0.0058   0.0060
   96    0.0149   0.0086
   97    0.0859   0.0053
   98    0.1392   0.0130
   99    0.0881   0.0142
  100   -0.0710   0.0077
  101   -0.2112   0.0072
  102   -0.1870   0.0096
  103   -0.0362   0.0079
  104    0.1154  -0.0031
  105    0.1603  -0.0084
  106    0.1032  -0.0091
  107    0.0010  -0.0170
  108   -0.0821  -0.0214
  109   -0.1013  -0.0055
  110   -0.0511   0.0050
  111    0.0149  -0.0166
  112    0.0089  -0.0317
  113   -0.0521  -0.0422
  114   -0.0492  -0.0343
  115    0.0578  -0.0240
  116    0.1505  -0.0240
  117    0.1171  -0.0286
  118    0.0034  -0.0060
