Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000   0.0000
   52    0.0000   0.0000
   53    0.0000  -0.0002
   54   -0.0002   0.0000
   55   -0.0002  -0.0002
   56   -0.0005   0.0000
   57   -0.0005  -0.0002
   58   -0.0007   0.0000
   59   -0.0007  -0.0002
   60   -0.0010   0.0000
   61   -0.0010  -0.0002
   62   -0.0012   0.0000
   63   -0.0014  -0.0002
   64   -0.0017  -0.0002
   65   -0.0019  -0.0002
   66   -0.0022  -0.0002
   67   -0.0026  -0.0002
   68   -0.0050  -0.0002
   69   -0.0065   0.0002
   70   -0.0022   0.0002
   71    0.0091   0.0002
   72    0.0192   0.0002
   73    0.0218   0.0012
   74    0.0175   0.0005
   75    0.0118   0.0002
   76    0.0127   0.0002
   77    0.0158  -0.0002
   78    0.0084  -0.0029
   79   -0.0115  -0.0031
   80   -0.0379  -0.0022
   81   -0.0638  -0.0034
   82   -0.0689  -0.0024
   83   -0.0408  -0.0029
   84    0.0007  -0.0029
   85    0.0240  -0.0079
   86    0.0163  -0.0072
   87   -0.0070  -0.0046
   88   -0.0144  -0.0043
   89    0.0115   0.0000
   90    0.0533   0.0038
   91    0.0614   0.0067
   92    0.0341   0.0115
   93    0.0134   0.0146
   94    0.0065   0.0187
   95    0.0034   0.0199
   96    0.0084   0.0130
   97    0.0226   0.0017
   98    0.0252  -0.0012
   99    0.0007   0.0149
  100   -0.0499   0.0137
  101   -0.0960  -0.0026
  102   -0.0751  -0.0058
  103    0.0079  -0.0096
  104    0.0874  -0.0175
  105    0.0782  -0.0127
  106    0.0156  -0.0235
  107   -0.0578  -0.0288
  108   -0.0732  -0.0437
  109   -0.0242  -0.0326
  110    0.0427  -0.0149
  111    0.0746  -0.0058
  112    0.0535  -0.0002
  113    0.0000   0.0050
  114   -0.0353   0.0010
  115   -0.0281  -0.0007
  116   -0.0257   0.0067
  117   -0.0586   0.0089
