Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0002
   45    0.0000   0.0002
   46    0.0002   0.0002
   47    0.0002   0.0002
   48    0.0005   0.0002
   49    0.0005   0.0002
   50    0.0007   0.0002
   51    0.0007   0.0002
   52    0.0010   0.0002
   53    0.0012   0.0002
   54    0.0012   0.0005
   55    0.0014   0.0005
   56    0.0017   0.0005
   57    0.0019   0.0005
   58    0.0022   0.0005
   59    0.0026   0.0007
   60    0.0029   0.0007
   61    0.0034   0.0007
   62    0.0036   0.0010
   63    0.0041   0.0010
   64    0.0048   0.0010
   65    0.0053   0.0012
   66    0.0058   0.0012
   67    0.0055   0.0014
   68    0.0062   0.0014
   69    0.0067   0.0017
   70    0.0034   0.0017
   71   -0.0022   0.0019
   72   -0.0017   0.0024
   73    0.0137   0.0022
   74    0.0350   0.0024
   75    0.0322   0.0019
   76   -0.0089   0.0002
   77   -0.0540   0.0010
   78   -0.0490   0.0002
   79    0.0091   0.0014
   80    0.0622   0.0002
   81    0.0382  -0.0029
   82   -0.0511  -0.0026
   83   -0.1042  -0.0031
   84   -0.0521  -0.0060
   85    0.0514  -0.0055
   86    0.0948  -0.0055
   87    0.0413  -0.0060
   88   -0.0415  -0.0026
   89   -0.0919  -0.0053
   90   -0.0991  -0.0070
   91   -0.0778  -0.0122
   92   -0.0132  -0.0113
   93    0.0818  -0.0149
   94    0.1042  -0.0058
   95   -0.0098   0.0031
   96   -0.1445  -0.0072
   97   -0.1102  -0.0115
   98    0.0886  -0.0022
   99    0.2088   0.0149
  100    0.0838   0.0209
  101   -0.1951   0.0163
  102   -0.3367   0.0029
  103   -0.1896  -0.0178
  104    0.1363  -0.0161
  105    0.3437  -0.0050
  106    0.2666   0.0079
  107   -0.0038   0.0118
  108   -0.1994   0.0144
  109   -0.1490   0.0190
  110    0.0682   0.0199
  111    0.2033   0.0108
  112    0.0948   0.0017
  113   -0.1721   0.0038
  114   -0.2974   0.0122
  115   -0.1313   0.0089
  116    0.1702   0.0010
  117    0.3079  -0.0077
  118    0.1644  -0.0118
