Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0002
   48    0.0002   0.0000
   49    0.0002   0.0002
   50    0.0005   0.0000
   51    0.0005   0.0002
   52    0.0007   0.0000
   53    0.0007   0.0002
   54    0.0010   0.0000
   55    0.0010   0.0002
   56    0.0012   0.0002
   57    0.0014   0.0002
   58    0.0017   0.0002
   59    0.0019   0.0002
   60    0.0022   0.0002
   61    0.0026   0.0002
   62    0.0029   0.0002
   63    0.0034   0.0002
   64    0.0038   0.0002
   65    0.0043   0.0002
   66    0.0043   0.0002
   67    0.0017   0.0005
   68   -0.0007   0.0005
   69    0.0005   0.0010
   70    0.0074   0.0010
   71    0.0168   0.0017
   72    0.0226   0.0024
   73    0.0204   0.0031
   74    0.0154   0.0031
   75    0.0132   0.0017
   76    0.0110   0.0002
   77    0.0036   0.0014
   78   -0.0139   0.0010
   79   -0.0331  -0.0002
   80   -0.0415   0.0029
   81   -0.0408   0.0034
   82   -0.0403   0.0024
   83   -0.0418  -0.0002
   84   -0.0413   0.0041
   85   -0.0365   0.0089
   86   -0.0281   0.0118
   87   -0.0230   0.0134
   88   -0.0182   0.0101
   89   -0.0151   0.0036
   90   -0.0053   0.0002
   91    0.0065  -0.0012
   92    0.0113  -0.0007
   93    0.0228   0.0019
   94    0.0420  -0.0012
   95    0.0636  -0.0031
   96    0.0830   0.0010
   97    0.0749   0.0070
   98    0.0341   0.0072
   99    0.0048  -0.0010
  100    0.0266  -0.0118
  101    0.0499  -0.0250
  102    0.0185  -0.0252
  103   -0.0698  -0.0137
  104   -0.1142  -0.0074
  105   -0.0487  -0.0149
  106    0.0646  -0.0118
  107    0.0842  -0.0137
  108   -0.0298  -0.0252
  109   -0.1834  -0.0382
  110   -0.1843  -0.0350
  111   -0.0151  -0.0096
  112    0.1548   0.0041
  113    0.1584   0.0163
  114   -0.0103   0.0199
  115   -0.1574   0.0178
  116   -0.0996   0.0122
  117    0.0883   0.0086
  118    0.1975  -0.0050
  119    0.1181  -0.0216
