Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000  -0.0002
   48    0.0000  -0.0002
   49    0.0002  -0.0002
   50    0.0002  -0.0002
   51    0.0005  -0.0002
   52    0.0005  -0.0002
   53    0.0007  -0.0002
   54    0.0007  -0.0002
   55    0.0010  -0.0002
   56    0.0012  -0.0002
   57    0.0012  -0.0005
   58    0.0014  -0.0005
   59    0.0017  -0.0005
   60    0.0019  -0.0005
   61    0.0024  -0.0007
   62    0.0026  -0.0007
   63    0.0026  -0.0010
   64    0.0024  -0.0010
   65    0.0024  -0.0010
   66    0.0019  -0.0010
   67    0.0000  -0.0010
   68   -0.0017  -0.0014
   69    0.0007  -0.0014
   70    0.0101  -0.0014
   71    0.0209  -0.0007
   72    0.0226  -0.0002
   73    0.0098  -0.0012
   74   -0.0084  -0.0019
   75   -0.0197  -0.0019
   76   -0.0199  -0.0010
   77   -0.0170  -0.0010
   78   -0.0226  -0.0026
   79   -0.0358  -0.0024
   80   -0.0382  -0.0046
   81   -0.0158  -0.0072
   82    0.0204  -0.0072
   83    0.0437  -0.0034
   84    0.0463  -0.0026
   85    0.0274  -0.0062
   86   -0.0017  -0.0055
   87   -0.0180   0.0002
   88   -0.0211   0.0026
   89   -0.0276   0.0005
   90   -0.0437   0.0084
   91   -0.0677   0.0146
   92   -0.0742   0.0144
   93   -0.0482   0.0077
   94   -0.0038   0.0058
   95    0.0326   0.0060
   96    0.0374   0.0137
   97    0.0149   0.0151
   98   -0.0070   0.0130
   99   -0.0158   0.0034
  100   -0.0022   0.0026
  101    0.0072   0.0118
  102    0.0113   0.0218
  103    0.0091   0.0269
  104    0.0007   0.0170
  105    0.0084   0.0019
  106    0.0456  -0.0043
  107    0.0593  -0.0002
  108    0.0542  -0.0036
  109    0.0278  -0.0137
  110    0.0122  -0.0149
  111    0.0017  -0.0166
  112   -0.0132  -0.0158
  113   -0.0149  -0.0247
  114   -0.0230  -0.0341
  115   -0.0506  -0.0170
  116   -0.0622  -0.0007
