Echo A : BASELINE.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0002
   48    0.0002   0.0000
   49    0.0002   0.0002
   50    0.0005   0.0000
   51    0.0005   0.0002
   52    0.0007   0.0000
   53    0.0007   0.0002
   54    0.0010   0.0000
   55    0.0010   0.0002
   56    0.0012   0.0002
   57    0.0014   0.0002
   58    0.0017   0.0002
   59    0.0019   0.0002
   60    0.0022   0.0002
   61    0.0024   0.0002
   62    0.0029   0.0002
   63    0.0031   0.0002
   64    0.0036   0.0002
   65    0.0041   0.0002
   66    0.0048   0.0002
   67    0.0065   0.0002
   68    0.0091   0.0002
   69    0.0103   0.0000
   70    0.0094  -0.0010
   71    0.0079  -0.0014
   72    0.0050  -0.0002
   73    0.0000   0.0007
   74   -0.0074   0.0014
   75   -0.0170   0.0000
   76   -0.0216   0.0014
   77   -0.0197   0.0019
   78   -0.0127  -0.0005
   79   -0.0017  -0.0034
   80    0.0110   0.0005
   81    0.0106   0.0024
   82   -0.0055   0.0065
   83   -0.0216   0.0065
   84   -0.0204   0.0043
   85    0.0000  -0.0029
   86    0.0336  -0.0043
   87    0.0475  -0.0089
   88    0.0010  -0.0082
   89   -0.0900  -0.0024
   90   -0.1315  -0.0031
   91   -0.0840  -0.0132
   92    0.0245  -0.0113
   93    0.1039  -0.0139
   94    0.0962  -0.0154
   95    0.0185  -0.0146
   96   -0.0274  -0.0096
   97    0.0065  -0.0084
   98    0.0756  -0.0067
   99    0.0775  -0.0091
  100   -0.0014  -0.0072
  101   -0.1133  -0.0060
  102   -0.1313   0.0010
  103   -0.0509   0.0012
  104    0.0372   0.0194
  105    0.0742   0.0221
  106    0.0770  -0.0014
  107    0.0528   0.0038
  108    0.0146  -0.0038
  109   -0.0168   0.0058
  110   -0.0566   0.0048
  111   -0.1186   0.0053
  112   -0.1243   0.0122
  113   -0.0420   0.0007
  114    0.1097  -0.0036
  115    0.2287  -0.0007
  116    0.1872   0.0002
  117    0.0065  -0.0108
  118   -0.1680  -0.0302
