Echo A : BASELI~1.DTA   
Time Period: 0.04-20.48msec
   No.  A (mPa)  An (mPa)
    1    0.0000   0.0000
    2    0.0000   0.0000
    3    0.0000   0.0000
    4    0.0000   0.0000
    5    0.0000   0.0000
    6    0.0000   0.0000
    7    0.0000   0.0000
    8    0.0000   0.0000
    9    0.0000   0.0000
   10    0.0000   0.0000
   11    0.0000   0.0000
   12    0.0000   0.0000
   13    0.0000   0.0000
   14    0.0000   0.0000
   15    0.0000   0.0000
   16    0.0000   0.0000
   17    0.0000   0.0000
   18    0.0000   0.0000
   19    0.0000   0.0000
   20    0.0000   0.0000
   21    0.0000   0.0000
   22    0.0000   0.0000
   23    0.0000   0.0000
   24    0.0000   0.0000
   25    0.0000   0.0000
   26    0.0000   0.0000
   27    0.0000   0.0000
   28    0.0000   0.0000
   29    0.0000   0.0000
   30    0.0000   0.0000
   31    0.0000   0.0000
   32    0.0000   0.0000
   33    0.0000   0.0000
   34    0.0000   0.0000
   35    0.0000   0.0000
   36    0.0000   0.0000
   37    0.0000   0.0000
   38    0.0000   0.0000
   39    0.0000   0.0000
   40    0.0000   0.0000
   41    0.0000   0.0000
   42    0.0000   0.0000
   43    0.0000   0.0000
   44    0.0000   0.0000
   45    0.0000   0.0000
   46    0.0000   0.0000
   47    0.0000   0.0000
   48    0.0000   0.0000
   49    0.0000   0.0000
   50    0.0000   0.0000
   51    0.0000   0.0000
   52    0.0000   0.0000
   53    0.0000   0.0000
   54    0.0000   0.0000
   55    0.0000   0.0002
   56    0.0000   0.0002
   57   -0.0002   0.0002
   58   -0.0002   0.0002
   59   -0.0002   0.0005
   60   -0.0002   0.0005
   61   -0.0005   0.0007
   62   -0.0005   0.0007
   63   -0.0005   0.0010
   64   -0.0005   0.0012
   65   -0.0010   0.0017
   66   -0.0024   0.0017
   67   -0.0046   0.0019
   68   -0.0067   0.0019
   69   -0.0094   0.0017
   70   -0.0130   0.0019
   71   -0.0173   0.0019
   72   -0.0185   0.0012
   73   -0.0130   0.0017
   74   -0.0014   0.0019
   75    0.0089   0.0034
   76    0.0158   0.0053
   77    0.0266   0.0046
   78    0.0406   0.0058
   79    0.0506   0.0060
   80    0.0516   0.0026
   81    0.0372   0.0010
   82    0.0178   0.0002
   83    0.0010  -0.0010
   84   -0.0142   0.0031
   85   -0.0334   0.0084
   86   -0.0494   0.0043
   87   -0.0545  -0.0002
   88   -0.0523  -0.0089
   89   -0.0499  -0.0101
   90   -0.0499  -0.0144
   91   -0.0372  -0.0211
   92   -0.0091  -0.0266
   93    0.0113  -0.0288
   94    0.0108  -0.0293
   95    0.0098  -0.0250
   96    0.0430  -0.0235
   97    0.1001  -0.0170
   98    0.1200  -0.0094
   99    0.0660  -0.0014
  100   -0.0166   0.0082
  101   -0.0458   0.0235
  102    0.0154   0.0326
  103    0.0773   0.0425
  104    0.0617   0.0386
  105   -0.0257   0.0346
  106   -0.0950   0.0223
  107   -0.0802  -0.0010
  108    0.0079   0.0034
  109    0.0809   0.0163
  110    0.1010   0.0314
  111    0.0756   0.0168
  112    0.0427  -0.0079
  113   -0.0134  -0.0223
  114   -0.0955  -0.0190
  115   -0.1634  -0.0372
  116   -0.1848  -0.0641
  117   -0.1296  -0.0653
